Train,Test,Llama3.2,Llama3.2+SPWordLevel,Llama3.2+SPWordPiece,Llama3.2+SPSentencePiece
mesos,usergrid,1.34,1.4,1.38,1.05
usergrid,mesos,1.74,1.73,1.6,1.56
appceleratorstudio,aptanastudio,4.36,5.22,4.28,4.31
appceleratorstudio,titanium,3.36,3.76,3.4,3.3
titanium,appceleratorstudio,2.55,2.64,2.36,2.36
aptanastudio,titanium,3.78,3.64,4.11,3.78
mule,mulestudio,3.57,4.07,3.43,3.65
mulestudio,mule,2.98,3.07,3.08,3.31
clover,usergrid,2.02,2.53,2.07,1.48
talendesb,mesos,1.52,1.95,1.6,1.66
talenddataquality,aptanastudio,4.53,4.69,4.54,4.73
mule,titanium,3.48,3.68,3.34,3.31
talenddataquality,appceleratorstudio,2.72,2.66,2.98,2.49
mulestudio,titanium,3.73,3.73,3.51,3.97
appceleratorstudio,mulestudio,3.41,3.54,3.39,3.53
appceleratorstudio,mule,2.9,2.89,3.01,2.77
