Project,Llama3.2,Llama3.2+SPWordLevel,Llama3.2+SPWordPiece,Llama3.2+SPSentencePiece
appceleratorstudio,1.45,1.09,1.37,1.46
aptanastudio,2.9,2.96,2.95,2.67
bamboo,1.05,1.12,1.05,0.83
clover,2.02,3.13,1.76,1.42
datamanagement,3.54,15.9,3.96,3.43
duracloud,0.89,1.12,1.33,1.02
jirasoftware,1.59,1.95,1.73,1.49
mesos,1.1,1.38,0.88,1.08
moodle,8.72,12.64,14.3,9.06
mule,2.27,2.31,2.45,2.32
mulestudio,2.65,2.55,2.61,2.56
springxd,1.79,1.52,1.47,1.33
talenddataquality,3.45,4.56,3.62,3.74
talendesb,0.86,1.48,0.84,0.79
titanium,1.84,1.66,1.95,1.57
usergrid,1.28,1.31,1.13,1.25
