Train,Test,Llama3SP,Llama3.2+SPWordLevel,Llama3.2+SPWordPiece,Llama3.2+SPSentencePiece,Llama3SPv2
mesos,usergrid,1.34,1.4,1.38,1.05,1.37
usergrid,mesos,1.74,1.73,1.6,1.56,1.45
appceleratorstudio,aptanastudio,4.36,5.22,4.28,4.31,1.53
appceleratorstudio,titanium,3.36,3.76,3.4,3.3,1.7
titanium,appceleratorstudio,2.55,2.64,2.36,2.36,2.65
aptanastudio,titanium,3.78,3.64,4.11,3.78,3.48
mule,mulestudio,3.57,4.07,3.43,3.65,2.73
mulestudio,mule,2.98,3.07,3.08,3.31,3.87
clover,usergrid,2.02,2.53,2.07,1.48,4.17
talendesb,mesos,1.52,1.95,1.6,1.66,1.07
talenddataquality,aptanastudio,4.53,4.69,4.54,4.73,3.71
mule,titanium,3.48,3.68,3.34,3.31,2.68
talenddataquality,appceleratorstudio,2.72,2.66,2.98,2.49,3.92
mulestudio,titanium,3.73,3.73,3.51,3.97,3.85
appceleratorstudio,mulestudio,3.41,3.54,3.39,3.53,1.74
appceleratorstudio,mule,2.9,2.89,3.01,2.77,1.91
